GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.017220324390084567,32
CytoRPList,94.56944444444444,0.07066927026776076,72
cytoskeleton,88.74193548387096,0.07360496206976787,125
erythroid,92.87671232876713,0.08417874172594787,74
Fe_Scluster_JM,88.66037735849056,-0.04043123991300987,54
genesRegulatingIron_JM,88.8768115942029,0.0137337462248828,140
HistoneList,91.56603773584905,0.22368173032572325,90
lysosome,91.72357723577235,0.07667269263091382,123
mitoComplexAll,97.58666666666667,0.03702592584398956,75
MitoComplexI,99.10810810810811,0.027803813626600782,37
MitoComplexII,103.0,0.0597288469048002,4
MitoComplexIII,92.33333333333333,0.03576663628169269,9
MitoComplexIV,95.66666666666667,0.13393303730641484,15
MitoComplexV,97.88888888888889,-0.003788793680717283,18
MitoRPList,99.32894736842105,0.0253955208931727,76
proteasome,87.73809523809524,-0.018800285031578278,43
spliceosome,92.68345323741008,0.009492503357202354,139
