GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.03307329317746476,32
CytoRPList,94.56944444444444,0.12135352186043047,72
cytoskeleton,88.74193548387096,-0.05370748002744483,125
erythroid,92.87671232876713,0.07672153871351355,74
Fe_Scluster_JM,88.66037735849056,-0.0047712982332103705,54
genesRegulatingIron_JM,88.8768115942029,0.07602844678466222,140
HistoneList,91.56603773584905,0.0781796465499869,90
lysosome,91.72357723577235,0.15728136022535127,123
mitoComplexAll,97.58666666666667,0.129077494009114,75
MitoComplexI,99.10810810810811,0.12193642701133231,37
MitoComplexII,103.0,0.054611760375233694,4
MitoComplexIII,92.33333333333333,0.14301614814498062,9
MitoComplexIV,95.66666666666667,0.18873344078068424,15
MitoComplexV,97.88888888888889,0.11486974447283613,18
MitoRPList,99.32894736842105,0.11504518397386525,76
proteasome,87.73809523809524,-0.013737790379713866,43
spliceosome,92.68345323741008,-0.03141992717780332,139
