GeneGroup,TIS,ER,size
autophagyRelated,87.0,-0.02820526690960787,32
CytoRPList,94.56944444444444,0.17889967904351683,72
cytoskeleton,88.74193548387096,0.031272336831363,125
erythroid,92.87671232876713,0.13450463506893165,74
Fe_Scluster_JM,88.66037735849056,-0.1696770929639519,54
genesRegulatingIron_JM,88.8768115942029,-0.03217473901068807,140
HistoneList,91.56603773584905,0.6404899865772729,90
lysosome,91.72357723577235,-0.06784788771686678,123
mitoComplexAll,97.58666666666667,0.0449574491216018,75
MitoComplexI,99.10810810810811,0.08208924808446096,37
MitoComplexII,103.0,-0.13061806784428398,4
MitoComplexIII,92.33333333333333,0.013588199391312259,9
MitoComplexIV,95.66666666666667,0.1940049463888566,15
MitoComplexV,97.88888888888889,-0.07375842951752859,18
MitoRPList,99.32894736842105,-0.026078823466084016,76
proteasome,87.73809523809524,-0.09260760297822436,43
spliceosome,92.68345323741008,-0.008840792353874935,139
