GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.011758238116237472,32
CytoRPList,94.56944444444444,0.027553233659189793,72
cytoskeleton,88.74193548387096,-0.07506247769353908,125
erythroid,92.87671232876713,-0.0029479519071522373,74
Fe_Scluster_JM,88.66037735849056,0.005993542662507578,54
genesRegulatingIron_JM,88.8768115942029,-0.005992305579716059,140
HistoneList,91.56603773584905,-0.017497832905077535,90
lysosome,91.72357723577235,-0.013891260830086306,123
mitoComplexAll,97.58666666666667,0.01189411217078537,75
MitoComplexI,99.10810810810811,-0.007970818076473199,37
MitoComplexII,103.0,0.007960671534323796,4
MitoComplexIII,92.33333333333333,0.02438742853017263,9
MitoComplexIV,95.66666666666667,-0.021636381817762274,15
MitoComplexV,97.88888888888889,0.0677648711979433,18
MitoRPList,99.32894736842105,0.027147342903716523,76
proteasome,87.73809523809524,0.040389302812678815,43
spliceosome,92.68345323741008,-0.017541388824292483,139
