GeneGroup,TIS,ER,size
autophagyRelated,87.0,0.06298013977828061,32
CytoRPList,94.56944444444444,0.013874035667858596,72
cytoskeleton,88.74193548387096,-0.07323843445656068,125
erythroid,92.87671232876713,0.06776297693442943,74
Fe_Scluster_JM,88.66037735849056,-0.045032875300592634,54
genesRegulatingIron_JM,88.8768115942029,-0.02205300981562162,140
HistoneList,91.56603773584905,0.42242419259221065,90
lysosome,91.72357723577235,-0.09946232182367232,123
mitoComplexAll,97.58666666666667,0.06522692560037992,75
MitoComplexI,99.10810810810811,0.10103510605005145,37
MitoComplexII,103.0,-0.17943056666666665,4
MitoComplexIII,92.33333333333333,-0.032579636705416117,9
MitoComplexIV,95.66666666666667,0.11062363076722508,15
MitoComplexV,97.88888888888889,0.05764868970018435,18
MitoRPList,99.32894736842105,0.00401954181034336,76
proteasome,87.73809523809524,-0.026596032346875745,43
spliceosome,92.68345323741008,-0.001497185131023207,139
