GeneGroup,TIS,RNA,size
autophagyRelated,87.0,1.3415059310773232,32
CytoRPList,94.56944444444444,-0.32529866712444305,72
cytoskeleton,88.74193548387096,0.0771979761670827,125
erythroid,92.87671232876713,2.236251636138574,74
Fe_Scluster_JM,88.66037735849056,0.17916364066937132,54
genesRegulatingIron_JM,88.8768115942029,0.6541252778356773,140
HistoneList,91.56603773584905,1.7272748149415655,90
lysosome,91.72357723577235,0.047083557804711136,123
mitoComplexAll,97.58666666666667,0.025712273443628596,75
MitoComplexI,99.10810810810811,0.1361065606085393,37
MitoComplexII,103.0,-0.6769021861373224,4
MitoComplexIII,92.33333333333333,0.07803762688315358,9
MitoComplexIV,95.66666666666667,0.14184919300459206,15
MitoComplexV,97.88888888888889,-0.1800905698363298,18
MitoRPList,99.32894736842105,-0.48312563230108496,76
proteasome,87.73809523809524,0.17811132933273313,43
spliceosome,92.68345323741008,0.002632331659320777,139
