Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	81	20.1492537313	9.81021540797e-07	NM_015001, NM_133480, NM_202002, NM_005647, NM_007055, NM_014663, NM_006526, NM_001288805, NM_014727, NM_001105537, NM_012308, NM_147223, NM_001083621, NM_152736, NM_001304815, NM_001330519, NM_003112, NM_007147, NM_001244580, NM_012154, NM_052876, NM_001004304, NM_031449, NM_000333, NM_001433, NM_001206559, NM_001170629, NM_144976, NM_003482, NM_012199, NM_017780, NM_003298, NM_018263, NM_014630, NM_033113, NM_014345, NM_001323638, NM_001345970, NM_006626, NM_181659, NM_001145260, NM_004599, NM_006662, NM_014240, NM_001303241, NM_001330765, NM_015401, NM_176814, NM_021224, NM_014938, NM_001143995, NM_001079843, NM_001202543, NM_024680, NM_181489, NM_033426, NM_006037, NM_006813, NM_018028, NM_015035, NM_001261461, NM_001145365, NM_022802, NM_021089, NM_006494, NM_003036, NM_001300907, NM_000635, NM_198268, NM_014323, NM_015338, NM_013368, NM_017759, NM_001322260, NM_007137, NM_001282531, NM_001199295, NM_001300942, NM_015694, NM_001113523, NM_004689	355	947	7039	1.69596799381	0.00166242997918	0.00166242997918	0.00165419677126
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	60	14.9253731343	1.40425370995e-05	NM_006526, NM_001288805, NM_001105537, NM_001003699, NM_012308, NM_147223, NM_001083621, NM_152736, NM_001330519, NM_007147, NM_001244580, NM_001323342, NM_001004304, NM_001433, NM_003482, NM_001320415, NM_017780, NM_014779, NM_003298, NM_014630, NM_018263, NM_005679, NM_033113, NM_004091, NM_014345, NM_007313, NM_024408, NM_001345970, NM_006626, NM_181659, NM_000208, NM_001303241, NM_014240, NM_015401, NM_176814, NM_001143995, NM_178040, NM_001079843, NM_006813, NM_181489, NM_018028, NM_001145365, NM_021089, NM_000635, NM_001300907, NM_198268, NM_014323, NM_001322260, NM_017759, NM_013368, NM_015338, NM_007137, NM_001282531, NM_014423, NM_001199295, NM_001300942, NM_015694, NM_001113523, NM_004689, NM_001281773	355	677	7039	1.75729710612	0.0235349399866	0.0118375335941	0.0236760482649
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	12	2.98507462687	0.000109001057154	NM_000208, NM_003749, NM_005633, NM_000875, NM_001291549, NM_001122772, NM_004354, NM_001024847, NM_005399, NM_005027, NM_001256196, NM_138621	128	71	3107	4.1025528169	0.0197506301643	0.0197506301643	0.134549154173
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	10	2.48756218905	0.000309308116324	NM_001330437, NM_004091, NM_005633, NM_007313, NM_001291549, NM_001024847, NM_005027, NM_001256196, NM_138578, NM_022802	128	55	3107	4.41335227273	0.0550394902975	0.0279092070683	0.381371258016
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	40	9.95024875622	0.000344148115857	NM_202002, NM_001171167, NM_004599, NM_005647, NM_003185, NM_002466, NM_004555, NM_147223, NM_021224, NM_005027, NM_001142353, NM_001171623, NM_032482, NM_024680, NM_006037, NM_001261, NM_012154, NM_138300, NM_022802, NM_014757, NM_031449, NM_000333, NM_001267595, NM_001170629, NM_003036, NM_001122772, NM_144976, NM_003482, NM_012199, NM_138714, NM_017780, NM_030665, NM_003298, NM_018263, NM_015338, NM_001287491, NM_001323638, NM_001346092, NM_181659, NM_024496	355	441	7039	1.79847337996	0.442211635093	0.176829464412	0.578725228871
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	24	5.97014925373	0.000355577720412	NM_003749, NM_005633, NM_001122772, NM_001199417, NM_001320821, NM_001134382, NM_000548, NM_002072, NM_172171, NM_001130065, NM_001206482, NM_005027, NM_001040118, NM_198679, NM_002836, NM_003682, NM_001142503, NM_004227, NM_004946, NM_014856, NM_024940, NM_203447, NM_014689, NM_032818	355	211	7039	2.2553367599	0.452923731943	0.139973231572	0.597891280002
GOTERM_BP_DIRECT	GO:0048015~phosphatidylinositol-mediated signaling	9	2.23880597015	0.000403966641613	NM_003749, NM_001330437, NM_000875, NM_207123, NM_001142640, NM_012199, NM_012154, NM_001330721, NM_005027	355	37	7039	4.82306813856	0.496043762868	0.128076134554	0.678995092903
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	13	3.23383084577	0.000430108062662	NM_001330437, NM_005633, NM_172171, NM_013235, NM_001110556, NM_005027, NM_001256196, NM_001171623, NM_002210, NM_000875, NM_001291549, NM_207123, NM_001142446	128	96	3107	3.28702799479	0.0757075075643	0.0259009005749	0.52995207522
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	12	2.98507462687	0.000616672731347	NM_000208, NM_003749, NM_199054, NM_198679, NM_005633, NM_001322365, NM_000548, NM_001331017, NM_005399, NM_005357, NM_005027, NM_001256196	128	86	3107	3.38699127907	0.106747443667	0.0278269739871	0.759021682411
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	14	3.48258706468	0.000636429704393	NM_000208, NM_001184985, NM_001321236, NM_199054, NM_001433, NM_013302, NM_001243186, NM_000875, NM_007313, NM_022089, NM_173174, NM_172171, NM_007199, NM_024776	355	92	7039	3.01733006736	0.660312227929	0.164691977935	1.06775520824
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	36	8.9552238806	0.000657270236625	NM_133480, NM_202002, NM_004599, NM_003185, NM_006526, NM_002466, NM_014727, NM_001003699, NM_004555, NM_152736, NM_014938, NM_003112, NM_007147, NM_024680, NM_181489, NM_001323342, NM_015035, NM_001261461, NM_021089, NM_006494, NM_144976, NM_001320415, NM_138714, NM_000635, NM_030665, NM_014779, NM_003298, NM_001322260, NM_033113, NM_004091, NM_007137, NM_014423, NM_001323638, NM_001199295, NM_001345970, NM_004689	366	386	7107	1.81100823919	0.294231329034	0.294231329034	0.950020901335
GOTERM_MF_DIRECT	GO:0004521~endoribonuclease activity	6	1.49253731343	0.00094849159757	NM_017575, NM_001129820, NM_001433, NM_012199, NM_012154, NM_178836	366	16	7107	7.28176229508	0.395249378135	0.222342863554	1.36826084554
