GeneGroup,TIS,TE,size
autophagyRelated,87.0,-0.09849522974054374,32
CytoRPList,94.56944444444444,1.012204897167903,72
cytoskeleton,88.74193548387096,-0.1707189773201391,125
erythroid,92.87671232876713,-0.03918910069374161,74
Fe_Scluster_JM,88.66037735849056,0.20068044356798534,54
genesRegulatingIron_JM,88.8768115942029,-0.02220146691763735,140
HistoneList,91.56603773584905,0.26020912903704896,90
lysosome,91.72357723577235,-0.14106970737452235,123
mitoComplexAll,97.58666666666667,0.35629407500998267,75
MitoComplexI,99.10810810810811,0.36622512275393787,37
MitoComplexII,103.0,-0.11152429965232602,4
MitoComplexIII,92.33333333333333,0.48065885371590344,9
MitoComplexIV,95.66666666666667,0.4266355152365421,15
MitoComplexV,97.88888888888889,0.31060230998560945,18
MitoRPList,99.32894736842105,0.357885193406238,76
proteasome,87.73809523809524,0.24823000780800666,43
spliceosome,92.68345323741008,0.15580821361107763,139
