GeneGroup,TIS,TE,size
autophagyRelated,87.0,-0.38251557167995154,32
CytoRPList,94.56944444444444,-0.31417359754893276,72
cytoskeleton,88.74193548387096,0.3258739144615865,125
erythroid,92.87671232876713,-0.0180916847271939,74
Fe_Scluster_JM,88.66037735849056,0.19794704908063465,54
genesRegulatingIron_JM,88.8768115942029,0.17904667854833792,140
HistoneList,91.56603773584905,-0.2153221284733461,90
lysosome,91.72357723577235,0.4414992494086658,123
mitoComplexAll,97.58666666666667,0.8619640883096652,75
MitoComplexI,99.10810810810811,0.7872932673855604,37
MitoComplexII,103.0,1.026819687700895,4
MitoComplexIII,92.33333333333333,0.5410329611394608,9
MitoComplexIV,95.66666666666667,1.0225245387663187,15
MitoComplexV,97.88888888888889,1.0664557586072752,18
MitoRPList,99.32894736842105,0.7506982946610714,76
proteasome,87.73809523809524,0.9608480500814908,43
spliceosome,92.68345323741008,0.6161322614272406,139
