GeneGroup,TIS,TE,size
autophagyRelated,87.0,-0.4713081118608967,32
CytoRPList,94.56944444444444,-0.28154639055494823,72
cytoskeleton,88.74193548387096,0.4201909697606876,125
erythroid,92.87671232876713,0.029989437735835744,74
Fe_Scluster_JM,88.66037735849056,-0.005872378553380775,54
genesRegulatingIron_JM,88.8768115942029,0.1937890286588295,140
HistoneList,91.56603773584905,-0.21929988649302587,90
lysosome,91.72357723577235,0.4651776014005595,123
mitoComplexAll,97.58666666666667,0.9339402027235192,75
MitoComplexI,99.10810810810811,0.8230278929882622,37
MitoComplexII,103.0,1.4571935036949812,4
MitoComplexIII,92.33333333333333,0.5045411928691375,9
MitoComplexIV,95.66666666666667,1.2329162981673243,15
MitoComplexV,97.88888888888889,1.1279351075356505,18
MitoRPList,99.32894736842105,0.7868253511915435,76
proteasome,87.73809523809524,0.8926855853432155,43
spliceosome,92.68345323741008,0.4986532119446015,139
