GeneGroup,TIS,TE,size
autophagyRelated,87.0,-0.0002182735688162605,32
CytoRPList,94.56944444444444,0.1284712994882492,72
cytoskeleton,88.74193548387096,0.04157099128928292,125
erythroid,92.87671232876713,0.10852087641501788,74
Fe_Scluster_JM,88.66037735849056,-0.07091137538760475,54
genesRegulatingIron_JM,88.8768115942029,0.025818395775233344,140
HistoneList,91.56603773584905,0.38553513493019975,90
lysosome,91.72357723577235,0.048957268887852436,123
mitoComplexAll,97.58666666666667,0.16286816583267488,75
MitoComplexI,99.10810810810811,0.19698731091684943,37
MitoComplexII,103.0,0.04909598607033231,4
MitoComplexIII,92.33333333333333,0.13848143450846095,9
MitoComplexIV,95.66666666666667,0.274456419661547,15
MitoComplexV,97.88888888888889,0.057963775237730886,18
MitoRPList,99.32894736842105,0.03638218412095471,76
proteasome,87.73809523809524,-0.1339210288584268,43
spliceosome,92.68345323741008,-0.06125996302662084,139
