GeneGroup,TIS,RNA,size
autophagyRelated,87.0,22.650140301535092,32
CytoRPList,94.56944444444444,142.67367326176705,72
cytoskeleton,88.74193548387096,25.584412063842,125
erythroid,92.87671232876713,1873.8358153159186,74
Fe_Scluster_JM,88.66037735849056,28.378084110186833,54
genesRegulatingIron_JM,88.8768115942029,75.29281835048742,140
HistoneList,91.56603773584905,1291.188816446723,90
lysosome,91.72357723577235,16.847438431126605,123
mitoComplexAll,97.58666666666667,45.432516424733606,75
MitoComplexI,99.10810810810811,32.44746431187682,37
MitoComplexII,103.0,14.734316884744999,4
MitoComplexIII,92.33333333333333,55.38786991473333,9
MitoComplexIV,95.66666666666667,69.38750503753,15
MitoComplexV,97.88888888888889,56.408659018958815,18
MitoRPList,99.32894736842105,14.3757517313275,76
proteasome,87.73809523809524,40.08166748621123,43
spliceosome,92.68345323741008,18.902393292642408,139
