GeneGroup,TIS,RNA,size
autophagyRelated,87.0,27.07449073224064,32
CytoRPList,94.56944444444444,112.84244319114484,72
cytoskeleton,88.74193548387096,25.73543920579985,125
erythroid,92.87671232876713,2525.781667506233,74
Fe_Scluster_JM,88.66037735849056,35.50379387883488,54
genesRegulatingIron_JM,88.8768115942029,91.20917857914267,140
HistoneList,91.56603773584905,1160.6048859580726,90
lysosome,91.72357723577235,16.97646780651591,123
mitoComplexAll,97.58666666666667,48.46267247644505,75
MitoComplexI,99.10810810810811,35.70926733331702,37
MitoComplexII,103.0,15.868913640644998,4
MitoComplexIII,92.33333333333333,60.49747109573333,9
MitoComplexIV,95.66666666666667,71.05799943147,15
MitoComplexV,97.88888888888889,55.46058351157045,18
MitoRPList,99.32894736842105,15.306964996281971,76
proteasome,87.73809523809524,46.91900150862723,43
spliceosome,92.68345323741008,20.88734081603323,139
