GeneGroup,TIS,RNA,size
autophagyRelated,87.0,13.276398956166128,32
CytoRPList,94.56944444444444,262.85147280306575,72
cytoskeleton,88.74193548387096,30.520445080821997,125
erythroid,92.87671232876713,54.13612878920553,74
Fe_Scluster_JM,88.66037735849056,14.921335034970623,54
genesRegulatingIron_JM,88.8768115942029,39.51388297683035,140
HistoneList,91.56603773584905,349.3475420021761,90
lysosome,91.72357723577235,35.31788682172601,123
mitoComplexAll,97.58666666666667,61.6075358933068,75
MitoComplexI,99.10810810810811,43.62197453837405,37
MitoComplexII,103.0,18.800904964625,4
MitoComplexIII,92.33333333333333,70.23920413816667,9
MitoComplexIV,95.66666666666667,99.93346895568999,15
MitoComplexV,97.88888888888889,72.42004220114626,18
MitoRPList,99.32894736842105,21.121123305039475,76
proteasome,87.73809523809524,46.97444848997435,43
spliceosome,92.68345323741008,26.148877587671922,139
