GeneGroup,TIS,RNA,size
autophagyRelated,87.0,13.175457286091614,32
CytoRPList,94.56944444444444,234.188922918865,72
cytoskeleton,88.74193548387096,19.41640029712046,125
erythroid,92.87671232876713,232.6704719376302,74
Fe_Scluster_JM,88.66037735849056,23.8883140622577,54
genesRegulatingIron_JM,88.8768115942029,48.17515046065659,140
HistoneList,91.56603773584905,567.8282499814509,90
lysosome,91.72357723577235,21.955303915779695,123
mitoComplexAll,97.58666666666667,72.16976569210506,75
MitoComplexI,99.10810810810811,50.913159245392166,37
MitoComplexII,103.0,29.0102471007675,4
MitoComplexIII,92.33333333333333,90.5158018917111,9
MitoComplexIV,95.66666666666667,90.3231872186748,15
MitoComplexV,97.88888888888889,94.8085928858235,18
MitoRPList,99.32894736842105,34.36138070919933,76
proteasome,87.73809523809524,59.27674352977603,43
spliceosome,92.68345323741008,34.739985714349075,139
