GeneGroup,TIS,RNA,size
autophagyRelated,87.0,13.286106648732254,32
CytoRPList,94.56944444444444,248.95957921127572,72
cytoskeleton,88.74193548387096,17.523193252287886,125
erythroid,92.87671232876713,270.16162163563274,74
Fe_Scluster_JM,88.66037735849056,24.189886585882295,54
genesRegulatingIron_JM,88.8768115942029,42.86212827883548,140
HistoneList,91.56603773584905,559.232426662077,90
lysosome,91.72357723577235,20.27241894542516,123
mitoComplexAll,97.58666666666667,66.0196625460616,75
MitoComplexI,99.10810810810811,48.65064201662324,37
MitoComplexII,103.0,28.003677600687496,4
MitoComplexIII,92.33333333333333,79.15191930154447,9
MitoComplexIV,95.66666666666667,81.83283226237735,15
MitoComplexV,97.88888888888889,84.36436115230586,18
MitoRPList,99.32894736842105,28.756444757433428,76
proteasome,87.73809523809524,53.45895891461648,43
spliceosome,92.68345323741008,29.44949078204807,139
